,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
12,Ga/ZSM-5,Metal Oxide,Ga,Ga,Zeolites,{'Propane conversion': '7-19%'},,C3H8:He = 1:19 to 5:95,823.0,,11.8 g C3H8/(g catalyst h),PDH,"C3H8, He",False,"{'Conversion': 'Addition of steam', 'Stability': 'Addition of steam'}",85.0,,,,4 h,0.28,5.0,85.0,1.06-1.19 mole H2/mole C3H8,,,,,,10.1002/anie.200702463,2007.0,19.0
13,Pt-3K@KA,Metal,Pt,Pt,Zeolites,{'Oxygen conversion': '83.5%'},,C3H6/C3H8/H2/O2=20/12/4/1,823.0,,,ODH,"C3H6, C3H8, H2, O2",True,"{'Selectivity': 'Surface modification', 'Stability': 'Encapsulation'}",98.5,,,,100 h,0.01,,,,,,,,,10.1002/anie.201805150,2018.0,83.5
14,Fe2-C2N,Others,Fe,Fe,Others,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,"{'Activity': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,,,,,,,,,,,,,,10.1039/d3cp03204c,2023.0,
15,Chromium oxide/alumina,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'Propane conversion': '28-62%'},12.5-45.1% after 80 min,,600873.0,24.0,1.0 g,PDH,Propane,False,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",73.0,,,,3.6-45.1% decrease after 80 min,0.056,,51.0,,,,,,,10.1016/S0926-860X(98)00344-5,1999.0,62.0
16,Pt3Mo,Alloy,"Pt, Mo","Pt, Mo",,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,Others,,Mo,,,,,,,,,,,10.1021/acsomega.3c02675,2023.0,
17,Pt/Ga0.1Al1.9O3 and Pt/Ga0.5Al1.5O3,Metal Oxide,"Pt, Ga, Al","Pt, Ga",Aluminum Oxide,{'Propane conversion': '70%'},,,823.15,20.0,1.4 h-1,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Synergistic effect between Pt and Ga species', 'Stability': 'Regeneration by air oxidation'}",85.0,,,,140 min,1.78,,,,,,,,,10.1021/acs.jpcc.2c04072,2022.0,70.0
18,Cs2.5H6x-yM1-xPV1MxMo11-xO40,Metal Oxide,"Cs, H, P, V, Mo, O, M (Co, Fe, Ga, Ni, Sb, Zn)","V, Mo, M (Co, Fe, Ga, Ni, Sb, Zn)",,{'Propane conversion': '5-10%'},,,623.15,,,ODH,"Propane, Oxygen, Helium",True,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",80.0,,,,,,,,,,,,,,10.1016/S0920-5861(03)00154-8,2003.0,10.0
19,Palladium,Metal,Pd,Pd,,{'N/A': 'N/A'},,,,,,PDH,Propane,False,{'Conversion': 'Surface species'},,,,,,,,,,,,,,,10.1021/acs.jpcc.9b11424,2020.0,
20,Bulk molybdenum carbide (Mo2C),Metal,"Mo, C",Mo,,{'Propane conversion': '2-12.9%'},,C3H8/H2/N2 = 25/55/20,773.15,,GHSV = 5000 mL g-1 h-1,PDH,"C3H8, H2, N2",False,"{'Selectivity': 'V-doping, addition of mild oxidants', 'Conversion': 'V-doping', 'Stability': 'Addition of mild oxidants, process conditions'}",60.0,,,,10 h,0.1,,13.6,10.2-14.9 μmol g-1 min-1,,,,,,10.1002/chem.201302420,2013.0,12.9
21,ZSM-5(R2),Others,,"Al, Si",Silica Oxide,{'Propane conversion': '40.1%'},"8.8% (1 h), 51.6% (12 h)",n-pentane,773.15,,3.7 h^-1,PDH,"n-pentane, N2",False,"{'Conversion': 'High temperature regeneration', 'Selectivity': 'High temperature regeneration'}",57.0,,,,12 h,0.083,2.0,25.6,,,,,,,10.1016/j.apcata.2017.06.013,2017.0,40.1
22,V-based oxygen carrier,Metal Oxide,V,,Aluminum Oxide,{'Propane conversion': '9.69-10%'},,"50% propane, 50% N2",813.15,40.0,,ODH,"Propane, Nitrogen",False,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Catalyst composition', 'Stability': 'Catalyst composition'}",95.0,,,,6 min,0.1,,9.2,40 mL/min,,,,,,10.1016/j.cep.2020.108137,2020.0,10.0
23,Co-Sn/NC,Alloy,"Co, Sn",Co,Carbon-based,{'Propane conversion': '15%'},,,723.15,60.0,,PDH,"10 vol% C3H8, N2 balance gas",False,"{'Conversion': 'Microwave irradiation', 'Selectivity': 'Addition of Sn promoter', 'Stability': 'Structural composition'}",80.0,Nanoparticulate Alloys,Hydrothermal & Solvothermal Methods,Sn,180 min,3.0,,,,,,,,,10.1002/cctc.202001640,2021.0,15.0
24,Pt-Sn/BN,Alloy,"Pt, Sn","Pt, Sn",Boron-based,{'propane conversion': '48.9%'},,C3H8/Air = 8/2,873.15,23.75,WHSV = 6.8 h-1,ODH,"C3H8, Air",True,"{'Selectivity': 'Alloy structure', 'Conversion': 'Alloy structure', 'Stability': 'Support material'}",78.2,Nanoparticulate Alloys,Impregnation Methods,,0.58,0.58,,38.3,,,,,,,10.1016/j.cej.2007.11.009,2008.0,48.9
25,Vanadium oxide supported on silica and alumina,Metal Oxide,V,V,Silica Oxide,{'Propane conversion': 'N/A'},,C3H8:N2=1:4,773.0,,0.5 g catalyst,PDH,"C3H8, N2",False,"{'Activity': 'Preparation method (ALD vs impregnation)', 'Dispersion': 'Preparation method (ALD vs impregnation)', 'Reducibility': 'Preparation method (ALD vs impregnation)', 'Acidity': 'Preparation method (ALD vs impregnation)'}",,,,,,,,,,,,,,,10.1016/S0926-860X(01)00975-9,2002.0,
26,Pt-Sn/γ-Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '19.0-35.5%'},,"H2/C3H8 = 0.8, H2O/C3H8 = 0-2",818878.0,76.15,0.1 g,PDH,"C3H8, H2, H2O",False,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",99.0,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1016/j.cej.2014.09.107,2015.0,35.5
27,Mesoporous carbons,Others,C,,,{'Propane conversion': '35.7%'},7.6% over 600 min,Propane:Nitrogen = 1:19,873.15,20.0,6000 mL/(gcat·h),PDH,"Propane, Nitrogen",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",85.6,,,,Decreased from 35.7% to 28.1% over 600 min,0.001,,30.5,,,,,,,10.1016/S1872-2067(19)63334-6,2019.0,35.7
28,Ce0.89Cr0.02Fe0.09O2,Metal Oxide,"Ce, Cr, Fe","Ce, Cr, Fe",,{'propane conversion': '98%'},,C3H8/C3H6/H2 (5:1:1 v/v),823.15,50.0,,ODH,"C3H8, C3H6, H2, N2, O2",True,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",98.0,,,,66 h,1.0,,,,,,,,,10.1002/chem.200601588,2007.0,98.0
29,PtZnALD/SiO2,Alloy,"Pt, Zn","Pt, Zn",Silica Oxide,{'propane conversion': '53%'},7.5% over 12 hours,,873.15,50.0,6000 mL/g/h,PDH,"C3H8, He",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Preparation Method', 'Conversion': 'Structural Composition'}",97.0,Nanoparticulate Alloys,Surface & Support Methods,,7.5% deactivation over 12 hours,0.0625,,,,,,,,,10.1039/d0cy01528h,2021.0,53.0
30,Ga-MFI (nSH),Metal Oxide,Ga,Ga,Zeolites,{'Propane conversion': '9'},14-22,"10 vol% propane, 90 vol% N2",550.0,,,PDH,"Propane, N2",False,"{'Conversion': 'Lewis acid site strength', 'Selectivity': 'Synergy between Brønsted and Lewis acid sites', 'Stability': 'Structural composition'}",,,,,Stable for 4 h,,,,,,,,,,10.1016/j.cattod.2023.114437,2024.0,
31,"ZrO2-based catalysts doped with La, Y, Sm, Ca, Mg, Li",Metal Oxide,"Zr, La, Y, Sm, Ca, Mg, Li",Zr,,{'Propane conversion': '10%'},,Propane : N2 = 4 : 6,823.15,80.0,,PDH,"Propane, N2",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",100.0,,,"La, Y, Sm, Ca, Mg, Li",,,,,,,,,,,10.1039/c7cy01583f,2017.0,10.0
32,PtSn/Al2O3 sheet,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '48.7%'},0.007 h-1,C3H8:H2:N2 = 1:1.25:4,863.15,,9.4 h-1,PDH,"C3H8, H2, N2",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",99.1,Others,Impregnation Methods,Sn,0.17% decrease per hour,0.007,16.2,99.1,,,,,,,10.1002/anie.201507119,2015.0,48.7
33,Zn-modified Pt/Al2O3 nanocatalyst,Alloy,"Zn, Pt",Pt,Aluminum Oxide,{'Propane conversion': '38.3%'},,C3H8:O2=2:1,673.15,110.0,,ODH,"Propane, Oxygen",True,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",12.5,Nanoparticulate Alloys,Impregnation Methods,,4 h,0.25,,4.8,23.1 μmol g-1 s-1,,,,,,10.1016/j.ces.2023.118745,2023.0,38.3
34,Pd-doped Cu(111) surface,Alloy,"Cu, Pd",Pd,,{'Propane conversion': 'N/A'},,,800.0,,,PDH,Propane,False,"{'Activity': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,Single-atom Alloys,,,,,,,,,,,,,10.1039/c6ra15038a,2016.0,
35,Co/Al2O3-NR,Metal Oxide,"Co, Al, O",Co,Aluminum Oxide,{'propane conversion': '40.2%'},0.15 h-1,C3H8:N2 = 1:19,853.15,20.0,0.2 g,PDH,"C3H8, N2",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97.5,,,,0.15 h-1,0.15,,39.2,,,,,,,10.3390/catal13050807,2023.0,40.2
36,Pt/Fe-3,Single Atom,"Pt, Fe",Pt,Zeolites,{'Propane conversion': '47.5%'},No significant deactivation,C3H8/N2 = 25/75,853.15,,WHSV = 60 h-1,PDH,"C3H8, N2",False,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition', 'Propylene Yield': 'Structural composition'}",96.2,,,,3 days,72.0,,,,,,,,,10.1021/acscatal.2c05042,2023.0,47.5
37,2D Ru-Pc,Single Atom,Ru,Ru,Others,{},,,623.15,,,PDH,Propane,False,"{'Selectivity': 'Structural composition', 'Activity': 'Structural composition'}",90.0,,,,,,,,,,,,,,10.1021/acs.jpcc.8b12274,2019.0,
38,"VOx/SiO2, VOx/MCM-41, VOx/MCM-48",Metal Oxide,V,V,Silica Oxide,{'Propane conversion': '2-10%'},,"C3H8/O2/Ne = 40/20/40, C3H8/N2O/Ne = 40/40/20",773.0,,,ODH,"C3H8, O2, N2O, Ne",True,"{'Selectivity': 'Oxidizing agent (N2O vs O2)', 'Conversion': 'Oxidizing agent (N2O vs O2)'}",95.0,,,,,,,,,,,,,,10.1021/jp070747c,2007.0,10.0
39,Pt-Sn/MgAl2O4,Alloy,"Pt, Sn",Pt,Oxides,{'Propane conversion': '33%'},3% per cycle,Hydrogen-to-propane molar ratio of 0.8,848.15,76.15,0.1 g,PDH,"Propane, Hydrogen, Argon",False,{'Stability': 'Catalyst preparation method'},99.0,Nanoparticulate Alloys,Impregnation Methods,Sn,10 cycles,10.0,,,,,,,,,10.1016/j.catcom.2016.06.005,2016.0,33.0
40,Pt1Fe7/S-1,Alloy,"Pt, Fe","Pt, Fe",Silica Oxide,{'Propane conversion': '47.1%'},47.1 to 38.4% over 200 min,"C3H8/N2 = 1/7, CO2/C3H8 = 0.2",823.15,,0.15 g,PDH,"C3H8, N2, CO2",True,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90.8,Intermetallic Compounds,Impregnation Methods,,200 min,0.005,,,,,,,,,10.1021/acscatal.2c00649,2022.0,47.1
41,PtSn/TS-1,Alloy,"Pt, Sn","Pt, Sn",Zeolites,{'Propane conversion': '53.5%'},0.22-0.58%/h,C3H8:H2:N2 = 1:1:4,863.0,,WHSV 3 h-1,PDH,"C3H8, H2, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90.0,Nanoparticulate Alloys,Impregnation Methods,Ti,47.7% after 7 h,6.8,,48.15,,,,,,,10.1016/j.jcat.2017.05.024,2017.0,53.5
42,Fe-MFI zeolite,Metal,Fe,Fe,Zeolites,{'propane conversion': '23.6%'},,,,,,PDH,"propane, argon",False,"{'Conversion': 'preparation method', 'Selectivity': 'structural composition', 'Stability': 'structural composition'}",90.5,,,,45 h,1.0,,,,,,,,,10.1021/acs.cgd.2c01479,2023.0,23.6
43,0.5Pt3.5In/Al2O3,Alloy,"Pt, In",Pt,Aluminum Oxide,{'propane conversion': '20%'},0.00078 h-1,,873.15,30.0,,PDH,"C3H8, H2, He",False,{'Stability': 'Structural Composition'},90.0,Intermetallic Compounds,Impregnation Methods,In,0.00078 h-1,0.00078,,,,,,,,,10.1016/j.jechem.2023.04.019,2023.0,20.0
44,ZnO/HZSM-5(160),Metal Oxide,Zn,Zn,Zeolites,{'Propane conversion': '41.5%'},,CO2/C3H8 = 0.5,873.15,20.0,200 mg,ODH,"Propane, CO2, N2",True,"{'Stability': 'Structural composition', 'Selectivity': 'Structural composition'}",62.1,,,,30 h,1.25,,25.8,,,,,,,10.1016/j.cattod.2009.05.011,2009.0,41.5
45,La2O3-ZrO2 and Y2O3-ZrO2,Metal Oxide,"La, Zr, O, Y",Zr,Others,{'Propane conversion': '10%'},,40% propane in N2,848.15,80.0,1.57-9.43 h-1,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Process Conditions', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.0,,,"La, Y",60 cycles,,,99.0,0.09-1.07 mmol/gcat/min,,,,,,10.1016/j.jcat.2017.02.016,2017.0,10.0
46,Amorphous GaN on MCM-41,Metal,"Ga, N","Ga, N",Silica Oxide,{'propane conversion': '22.62%'},,,823.15,9.5,1.0 h-1,PDH,"C3H8, N2",False,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",85.3,,,,22 h,0.045,,19.3,,,,,,,10.1002/cctc.202200406,2022.0,22.62
47,K-PtSn@MFI,Alloy,"Pt, Sn",Pt,Zeolites,{'Propane conversion': '67%'},No obvious deactivation,Propane/N2 = 5 ml/min / 16 ml/min,873.15,21.0,320 mg catalyst,PDH,"Propane, N2",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",90.0,Others,Other Solution-Based Methods,"Sn, K",Stable for 3 reaction-regeneration cycles,,,,,,,,,,10.1038/s41563-019-0412-6,2019.0,67.0
48,1Pt3Fe@S-1,Alloy,"Pt, Fe","Pt, Fe",Zeolites,{'Propane Conversion': '59%'},0.010 h-1,C3H8/N2 = 1:7,823.15,,0.15 g catalyst,PDH,"C3H8, N2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",91.0,Nanoparticulate Alloys,In Situ Synthesis,,54% conversion after 280 min,0.004,,99.0,,,,,,,10.1016/j.ces.2023.118748,2023.0,
49,Fe-Ni/CeO2,Alloy,"Fe, Ni","Fe, Ni",Oxides,{'Propane Conversion': '58%'},,1:1 CO2:C3H8,823.0,,,ODH,"CO2, C3H8",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",58.0,Nanoparticulate Alloys,Impregnation Methods,Ce,,,,,,,,,,,10.1038/s41570-019-0128-9,2019.0,
50,VSiBeta,Metal Oxide,"V, Si",V,Zeolites,{'Propane conversion': '37.76%'},12.3% coke,5 vol% propane in nitrogen,873.15,20.0,,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",88.35,,,,6 h,1.0,,33.36,,,,,,,10.1016/S1872-2067(19)63444-3,2020.0,37.76
51,Ni and Pd doped CeO2,Metal Oxide,"Ce, O, Ni, Pd","Ni, Pd",,,,,773.0,,,ODH,"C3H8, HCl",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,,,,,,,,,,,,,,10.3389/fchem.2023.1133865_full,,
52,1 wt% Pt/CeO2,Metal,"Pt, Ce, O",Pt,Others,{'Propane conversion': '10-30%'},,"2.5% C3H8, 2.5% H2",823.15,,,PDH,"Propane (C3H8), Hydrogen (H2), Nitrogen (N2)",False,{'Selectivity': 'Structural composition'},94.0,,,,,,,,,,,,,,10.1016/j.cattod.2020.06.075,2021.0,30.0
53,Cobalt supported on alumina nano-sheet (Co/Al2O3-NS),Metal Oxide,"Co, Al",Co,Aluminum Oxide,{'propane conversion': '31%'},0.40 mg/gcat.min,C3H8:He = 1:10,873.15,30.0,0.3 g catalyst,PDH,"C3H8, He",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",81.0,,,,5 h,1.0,,81.0,,,,,,,10.1002/cctc.201900924,2019.0,31.0
54,Pt-Sn/xCeZr-Al,Alloy,"Pt, Sn, Ce, Zr, Al","Pt, Sn",Aluminum Oxide,{'Propane conversion': '51.7-81.6%'},60.5-81.6% over 240 min,,873.15,,150 mg,PDH,"N2, C3H8",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.5,Nanoparticulate Alloys,Impregnation Methods,"Ce, Zr",240 min,0.004,,,,,,,,,10.1016/j.apcata.2012.07.022,2012.0,81.6
55,Pt/Al2O3 and Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'Propane conversion': '10-90%'},,"100% propane, 75% propane, 25% H2, 50% propane, 50% H2, 25% propane, 75% H2",873.15,9.0,,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",91.0,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1039/c3cp50646k,2013.0,90.0
56,10Ni20Cr-O,Metal Oxide,"Ni, Cr",Cr,Others,{'propane conversion': '34%'},,C3H8/O2/N2 = 5:0.5:94.5,823.15,,,PDH,"C3H8, O2, N2",True,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",90.0,,,Ni,no deactivation in 20 hours,,,,,,,,,,10.1039/d2cy01561g,2023.0,34.0
57,4V/13Ti/SBA-15,Metal Oxide,"V, Ti",V,Others,{'propane conversion': '6-9%'},,C3H8:O2 = 2:1,773.15,100.0,,ODH,"C3H8, O2",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",92.0,,,Ti,6-10 h,1.0,,92.0,6-9 kg kgcat-1 h-1,,,,,,10.1039/c3cy00625e,2014.0,9.0
58,Pt-Sn/SBA-15,Alloy,"Pt, Sn","Pt, Sn",Silica Oxide,{'propane conversion': '40%'},0.09 h-1,C3H8/H2 = 1/1,873.15,50.0,50 mg,PDH,"C3H8, H2, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.0,Nanoparticulate Alloys,Impregnation Methods,,0.09 h-1,0.09,,92.0,20 mol C3H6·gPt–1·h–1,,,,,,10.1021/acscatal.1c00639,2021.0,40.0
59,PtSn/SBA-15,Alloy,"Pt, Sn","Pt, Sn",Others,{'Propane conversion': '55.48%'},0.9% per hour,N2/C3H8 = 1.0,873.15,,3.0 h-1 (WHSV),PDH,"Propane, Nitrogen",False,"{'Conversion': 'Catalyst composition (PtSn alloy)', 'Selectivity': 'Catalyst composition (PtSn alloy)', 'Stability': 'Catalyst composition (PtSn alloy)'}",98.7,,Impregnation Methods,,32.6% conversion after 25 h,0.026,,54.7,,,,,,,10.1016/j.cjche.2013.07.001,2014.0,55.48
60,Dual phase LSM and SCY,Metal Oxide,"La, Sr, Mn, Ce, Yb","Mn, Ce",,{'propane conversion': '8.1%'},,10% C3H8/He,873.15,,10 mA,ODH,"C3H8, He",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",55.8,,,,,,,,,,,,,,10.1016/j.apcata.2023.119169,2023.0,8.1
61,5 wt% Cr/Ce0.2Zr0.8O2,Metal Oxide,"Cr, Ce, Zr",Cr,Others,{'Propane conversion': '62.6%'},47% decrease over 6h,C3H8:CO2:Ar = 1:2:37,873.15,,0.2 g catalyst,ODH,"C3H8, CO2, Ar",True,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",79.4,,,,53% initial activity after 6 h,0.013,,49.7,,,,,,,10.1021/acscatal.2c05286,2023.0,62.6
62,CrOx/Al2O3,Metal Oxide,Cr,Cr,Aluminum Oxide,{'Propane conversion': '47%'},10% over 6 h,"10% propane, 90% nitrogen",823.15,5000.0,,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Reactor design', 'Stability': 'Reactor design'}",80.0,,,Na,6 h,0.167,,80.0,,,,,,,10.1039/c2cc38978a,2013.0,47.0
63,NU-1000 supported cobalt oxide clusters,Metal Oxide,"Co, Ni, Zn, Al, Ti, Mo, Zr",Co,MOFs,{'propane conversion': 'Varied'},< 3% decrease in 20 h,O2:propane = 5:3 to 5:6,503.15,,Varied,ODH,"O2, Propane",True,"{'Conversion': 'Promoter composition', 'Activity': 'Promoter identity', 'Stability': 'MOF support'}",100.0,,,"Ni, Zn, Al, Ti, Mo",20 h,20.0,,100.0,Varied,,,,,,10.1021/jacs.7b09365,2017.0,
64,Cr2O3/SiO2,Metal Oxide,Cr,Cr,Silica Oxide,{'Propane conversion': '41%'}-{'C3H6 yield': '9.1%'},Slower deactivation in presence of CO2,"C3H8/CO2 = 1/1, C3H8/CO2 = 1/1 (molar ratio)",823.0,,"
					",PDH,"C3H8, CO2",False,"{'Conversion': 'Process conditions', 'Selectivity': 'Structural composition', 'Stability': 'Process conditions'}",94.0,,,,,,,,,,,,,,10.1016/S0920-5861(98)00245-4,1998.0,41.0
65,VOx/ZrO2,Metal Oxide,"V, Zr, O","V, O",Others,{'propane conversion': 'N/A'},,,,,,ODH,"C3H8, O2",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",,,,,,,,,,,,,,,10.1006/jcat.1999.2510,1999.0,
