Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
Co/H-ZSM5,Metal,Co,Co,Zeolite,{'Propane conversion': '11%'},,20% C3H8/He,773 K,,,PDH,"C3H8, He",No,"{'Conversion': 'Active species', 'Selectivity': 'Active species'}",18.8%,,,,,,,41.6%,,,,,,,10.1021/jp002102h,2001.0
PtSn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Al2O3,{'N/A': 'N/A'},,,,,,PDH,Propane,No,{'Stability': 'Separating deactivation from main reaction kinetics'},,,,,,,,,,,,,,,10.1016/S0926-860X(97)00233-0,1998.0
Ga/ZSM-5,Metal Oxide,Ga,Ga,Zeolite,{'Propane conversion': '7-19%'},,C3H8:He = 1:19 to 5:95,823 K,,11.8 g C3H8/(g catalyst h),PDH,"C3H8, He",No,"{'Conversion': 'Addition of steam', 'Stability': 'Addition of steam'}",85%,,,,4 h,0.25-0.28 h-1,5 kPa,58-85%,1.06-1.19 mole H2/mole C3H8,,,,,,10.1002/anie.200702463,2007.0
Pt-3K@KA,Metal,Pt,Pt,Zeolite (KA),{'Oxygen conversion': '83.5%'},,C3H6/C3H8/H2/O2=20/12/4/1,823 K,,,ODH,"C3H6, C3H8, H2, O2",Yes,"{'Selectivity': 'Surface modification', 'Stability': 'Encapsulation'}",98.5%,,,,100 h,0.01 h^-1,,,,,,,,,10.1002/anie.201805150,2018.0
Fe2-C2N,Single Cluster,Fe,Fe,C2N,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Activity': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,,,,,,,,,,,,,,10.1039/d3cp03204c,2023.0
Chromium oxide/alumina,Metal Oxide,"Cr, Al",Cr,Alumina,{'Propane conversion': '28-62%'},12.5-45.1% after 80 min,,600-873 K,24 ml/min,1.0 g,PDH,Propane,No,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",67-73%,,,,3.6-45.1% decrease after 80 min,0.0045-0.056 h^-1,0.2,47-51%,,,,,,,10.1016/S0926-860X(98)00344-5,1999.0
Pt3Mo,Alloy,"Pt, Mo","Pt, Mo",,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,Surface Alloy,,Mo,,,,,,,,,,,10.1021/acsomega.3c02675,2023.0
Pt/Ga0.1Al1.9O3 and Pt/Ga0.5Al1.5O3,Metal Oxide,"Pt, Ga, Al","Pt, Ga",Alumina,{'Propane conversion': '70%'},,,550℃,20 mL/min,1.4 h-1,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Synergistic effect between Pt and Ga species', 'Stability': 'Regeneration by air oxidation'}",85%,,,,140 min,1.78 h-1,,,,,,,,,10.1021/acs.jpcc.2c04072,2022.0
Cs2.5H6x-yM1-xPV1MxMo11-xO40,Metal Oxide,"Cs, H, P, V, Mo, O, M (Co, Fe, Ga, Ni, Sb, Zn)","V, Mo, M (Co, Fe, Ga, Ni, Sb, Zn)",,{'Propane conversion': '5-10%'},,,300-400°C,,,ODH,"Propane, Oxygen, Helium",Yes,"{'Selectivity': 'Composition', 'Conversion': 'Composition'}",60-80%,,,,,,,,,,,,,,10.1016/S0920-5861(03)00154-8,2003.0
Palladium,Metal,Pd,Pd,,{'N/A': 'N/A'},,,,,,PDH,Propane,No,{'Conversion': 'Surface species'},,,,,,,,,,,,,,,10.1021/acs.jpcc.9b11424,2020.0
Bulk molybdenum carbide (Mo2C),Metal carbide,"Mo, C",Mo,None,{'Propane conversion': '2-12.9%'},,C3H8/H2/N2 = 25/55/20,500°C,5000 mL g-1 h-1,GHSV = 5000 mL g-1 h-1,PDH,"C3H8, H2, N2",No,"{'Selectivity': 'V-doping, addition of mild oxidants', 'Conversion': 'V-doping', 'Stability': 'Addition of mild oxidants, process conditions'}",13.6-60%,,,,10 h,0.1 h-1,,13.6%,10.2-14.9 μmol g-1 min-1,,,,,,10.1002/chem.201302420,2013.0
ZSM-5(R2),Zeolite,,"Al, Si",Silica,{'Propane conversion': '40.1%'},"8.8% (1 h), 51.6% (12 h)",n-pentane,500 ℃,,3.7 h^-1,PDH,"n-pentane, N2",No,"{'Conversion': 'High temperature regeneration', 'Selectivity': 'High temperature regeneration'}",57%,,,,12 h,0.083 h^-1,2 kPa,25.6%,,,,,,,10.1016/j.apcata.2017.06.013,2017.0
V-based oxygen carrier,Metal Oxide,V,,Alumina,{'Propane conversion': '9.69-10%'},,"50% propane, 50% N2",490-590℃,40 mL/min,,ODH,"Propane, Nitrogen",No,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Catalyst composition', 'Stability': 'Catalyst composition'}",92-95%,,,,6 min,0.1 h-1,,8.91-9.2%,40 mL/min,,,,,,10.1016/j.cep.2020.108137,2020.0
Co-Sn/NC,Alloy,"Co, Sn",Co,Carbon nitride,{'Propane conversion': '15%'},,,450℃,60 mL/min,,PDH,"10 vol% C3H8, N2 balance gas",No,"{'Conversion': 'Microwave irradiation', 'Selectivity': 'Addition of Sn promoter', 'Stability': 'Structural composition'}",75-80%,Nanoparticulate Alloys,Solvothermal method,Sn,180 min,3 h-1,,,,,,,,,10.1002/cctc.202001640,2021.0
Pt-Sn/BN,Alloy,"Pt, Sn","Pt, Sn",BN,{'propane conversion': '48.9%'},,C3H8/Air = 8/2,600℃,23.75 ml/min,WHSV = 6.8 h-1,ODH,"C3H8, Air",Yes,"{'Selectivity': 'Alloy structure', 'Conversion': 'Alloy structure', 'Stability': 'Support material'}",78.2%,Nanoparticulate Alloys,Impregnation Methods,,0.58,0.58 h-1,,38.3%,,,,,,,10.1016/j.cej.2007.11.009,2008.0
Vanadium oxide supported on silica and alumina,Metal Oxide,V,V,"Silica, Alumina",{'Propane conversion': 'N/A'},,C3H8:N2=1:4,773 K,"
					",0.5 g catalyst,PDH,"C3H8, N2",No,"{'Activity': 'Preparation method (ALD vs impregnation)', 'Dispersion': 'Preparation method (ALD vs impregnation)', 'Reducibility': 'Preparation method (ALD vs impregnation)', 'Acidity': 'Preparation method (ALD vs impregnation)'}",,,,,,,,,,,,,,,10.1016/S0926-860X(01)00975-9,2002.0
Pt-Sn/γ-Al2O3,Alloy,"Pt, Sn",Pt,γ-Al2O3,{'Propane conversion': '19.0-35.5%'},,"H2/C3H8 = 0.8, H2O/C3H8 = 0-2",818-878 K,76.15 ml/min,0.1 g,PDH,"C3H8, H2, H2O",No,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",89-99%,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1016/j.cej.2014.09.107,2015.0
Mesoporous carbons,Others,C,,None,{'Propane conversion': '35.7%'},7.6% over 600 min,Propane:Nitrogen = 1:19,600 °C,20 mL/min,6000 mL/(gcat·h),PDH,"Propane, Nitrogen",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",85.6%,,,,Decreased from 35.7% to 28.1% over 600 min,0.001 h-1,,30.5%,,,,,,,10.1016/S1872-2067(19)63334-6,2019.0
Ce0.89Cr0.02Fe0.09O2,Metal Oxide,"Ce, Cr, Fe","Ce, Cr, Fe",,{'propane conversion': '98%'},,C3H8/C3H6/H2 (5:1:1 v/v),550 ℃,50 mL/min,,ODH,"C3H8, C3H6, H2, N2, O2",Yes,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",98%,,,,66 h,1 h-1,,,,,,,,,10.1002/chem.200601588,2007.0
PtZnALD/SiO2,Alloy,"Pt, Zn","Pt, Zn",Silica Oxide,{'propane conversion': '53%'},7.5% over 12 hours,,600℃,50 mL/min,6000 mL/g/h,PDH,"C3H8, He",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Preparation Method', 'Conversion': 'Structural Composition'}",97%,Nanoparticulate Alloys,Atomic Layer Deposition,,7.5% deactivation over 12 hours,0.0625 h^-1,,,,,,,,,10.1039/d0cy01528h,2021.0
Ga-MFI (nSH),Metal Oxide,Ga,Ga,Zeolite,{'Propane conversion': '9'},14-22,"10 vol% propane, 90 vol% N2",550,50 (mL/min),,PDH,"Propane, N2",No,"{'Conversion': 'Lewis acid site strength', 'Selectivity': 'Synergy between Brønsted and Lewis acid sites', 'Stability': 'Structural composition'}",80,,,,Stable for 4 h,0,Atmospheric pressure,7-7.2,,,,,,,10.1016/j.cattod.2023.114437,2024.0
"ZrO2-based catalysts doped with La, Y, Sm, Ca, Mg, Li",Metal Oxide,"Zr, La, Y, Sm, Ca, Mg, Li",Zr,,{'Propane conversion': '10%'},,Propane : N2 = 4 : 6,500-600℃,5-80 mL/min,,PDH,"Propane, N2",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",80-100%,,,"La, Y, Sm, Ca, Mg, Li",,,,,,,,,,,10.1039/c7cy01583f,2017.0
PtSn/Al2O3 sheet,Alloy,"Pt, Sn",Pt,γ-Al2O3 nanosheet,{'Propane conversion': '48.7%'},0.007 h-1,C3H8:H2:N2 = 1:1.25:4,590 °C,,9.4 h-1,PDH,"C3H8, H2, N2",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",99.1%,Raft-like clusters,Incipient co-impregnation,Sn,0.17% decrease per hour,0.007 h-1,16.2 kPa,99.1%,,,,,,,10.1002/anie.201507119,2015.0
Zn-modified Pt/Al2O3 nanocatalyst,Alloy,"Zn, Pt",Pt,Alumina,{'Propane conversion': '38.3%'},,C3H8:O2=2:1,400 °C,110 mL min-1,,ODH,"Propane, Oxygen",Yes,"{'Stability': 'Structural Composition', 'Selectivity': 'Structural Composition'}",12.5%,Nanoparticulate Alloys,Impregnation Methods,,4 h,0.25 h-1,,4.8%,23.1 μmol g-1 s-1,,,,,,10.1016/j.ces.2023.118745,2023.0
Pd-doped Cu(111) surface,Alloy,"Cu, Pd",Pd,,{'Propane conversion': 'N/A'},,,800 K (assumed based on text),,,PDH,Propane,No,"{'Activity': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,Single-atom Alloys,,,,,,,,,,,,,10.1039/c6ra15038a,2016.0
Co/Al2O3-NR,Metal Oxide,"Co, Al, O",Co,Aluminum Oxide,{'propane conversion': '40.2%'},0.15 h-1,C3H8:N2 = 1:19,580 ℃,20 mL/min,0.2 g,PDH,"C3H8, N2",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97.5%,,,,0.15 h-1,0.15 h-1,,39.2%,,,,,,,10.3390/catal13050807,2023.0
Pt/Fe-3,Single Atom,"Pt, Fe",Pt,Zeolite,{'Propane conversion': '47.5%'},No significant deactivation,C3H8/N2 = 25/75,580℃,,WHSV = 60 h-1,PDH,"C3H8, N2",No,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition', 'Propylene Yield': 'Structural composition'}",96.2%,,,,3 days,72 h-1,,Over 400 molC3H6 gPt-1 h-1,,,,,,,10.1021/acscatal.2c05042,2023.0
2D Ru-Pc,Single Atom,Ru,Ru,Pc,{},,,623.15 K,,,PDH,Propane,No,"{'Selectivity': 'Structural composition', 'Activity': 'Structural composition'}",90%,,,,,,,,,,,,,,10.1021/acs.jpcc.8b12274,2019.0
"VOx/SiO2, VOx/MCM-41, VOx/MCM-48",Metal Oxide,V,V,Silica Oxide,{'Propane conversion': '2-10%'},,"C3H8/O2/Ne = 40/20/40, C3H8/N2O/Ne = 40/40/20",773 K,,,ODH,"C3H8, O2, N2O, Ne",Yes,"{'Selectivity': 'Oxidizing agent (N2O vs O2)', 'Conversion': 'Oxidizing agent (N2O vs O2)'}",25-95%,,,,,,,,,,,,,,10.1021/jp070747c,2007.0
Pt-Sn/MgAl2O4,Alloy,"Pt, Sn",Pt,MgAl2O4,{'Propane conversion': '33%'},3% per cycle,Hydrogen-to-propane molar ratio of 0.8,575℃,76.15 mL/min,0.1 g,PDH,"Propane, Hydrogen, Argon",No,{'Stability': 'Catalyst preparation method'},99%,Nanoparticulate Alloys,Co-impregnation,Sn,10 cycles,10 h-1,,,,,,,,,10.1016/j.catcom.2016.06.005,2016.0
Pt1Fe7/S-1,Alloy,"Pt, Fe","Pt, Fe",Silica Oxide,{'Propane conversion': '47.1%'},47.1 to 38.4% over 200 min,"C3H8/N2 = 1/7, CO2/C3H8 = 0.2",550°C,"16,000 mL·h-1·gcat-1",0.15 g,PDH,"C3H8, N2, CO2",Yes,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90.8%,Intermetallic Compounds,Impregnation Methods,,200 min,0.005 h-1,,,,,,,,,10.1021/acscatal.2c00649,2022.0
PtSn/TS-1,Alloy,"Pt, Sn","Pt, Sn",TS-1 zeolite,{'Propane conversion': '53.5%'},0.22-0.58%/h,C3H8:H2:N2 = 1:1:4,863 K,WHSV 3 h-1,WHSV 3 h-1,PDH,"C3H8, H2, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90%,Nanoparticulate Alloys,Impregnation Methods,Ti,47.7% after 7 h,6.8 h-1,,48.15%,,,,,,,10.1016/j.jcat.2017.05.024,2017.0
Fe-MFI zeolite,Metal,Fe,Fe,Zeolite,{'propane conversion': '23.6%'},,,,,,PDH,"propane, argon",No,"{'Conversion': 'preparation method', 'Selectivity': 'structural composition', 'Stability': 'structural composition'}",90.5%,,,,45 h,1 h-1,,,,,,,,,10.1021/acs.cgd.2c01479,2023.0
0.5Pt3.5In/Al2O3,Alloy,"Pt, In",Pt,Aluminum Oxide,{'propane conversion': '20%'},0.00078 h-1,,600℃,30 mL/min,,PDH,"C3H8, H2, He",No,{'Stability': 'Structural Composition'},90%,Intermetallic Compounds,Co-impregnation,In,0.00078 h-1,0.00078 h-1,,,,,,,,,10.1016/j.jechem.2023.04.019,2023.0
ZnO/HZSM-5(160),Metal Oxide,Zn,Zn,HZSM-5,{'Propane conversion': '41.5%'},,CO2/C3H8 = 0.5,600℃,20 ml/min,200 mg,ODH,"Propane, CO2, N2",Yes,"{'Stability': 'Structural composition', 'Selectivity': 'Structural composition'}",62.1%,,,,30 h,1.25 h-1,,25.8%,,,,,,,10.1016/j.cattod.2009.05.011,2009.0
La2O3-ZrO2 and Y2O3-ZrO2,Metal Oxide,"La, Zr, O, Y",Zr,Zirconia (ZrO2),{'Propane conversion': '10%'},,40% propane in N2,525-625℃,10-80 ml/min,1.57-9.43 h-1,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Process Conditions', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",98-99%,,,"La, Y",60 cycles,60 hours,,98-99%,0.09-1.07 mmol/gcat/min,,,,,,10.1016/j.jcat.2017.02.016,2017.0
Amorphous GaN on MCM-41,Metal Nitride,"Ga, N","Ga, N",Silica Oxide,{'propane conversion': '22.62%'},,,550 ℃,9.5 sccm,1.0 h-1,PDH,"C3H8, N2",No,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",85.3%,,,,22 h,0.045 h-1,,19.3%,,,,,,,10.1002/cctc.202200406,2022.0
K-PtSn@MFI,Alloy,"Pt, Sn",Pt,Siliceous MFI zeolite,{'Propane conversion': '67%'},No obvious deactivation,Propane/N2 = 5 ml/min / 16 ml/min,600℃,21 ml/min,320 mg catalyst,PDH,"Propane, N2",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",90%,Subnanometric clusters,One-pot hydrothermal synthesis,"Sn, K",Stable for 3 reaction-regeneration cycles,,,,,,,,,,10.1038/s41563-019-0412-6,2019.0
1Pt3Fe@S-1,Alloy,"Pt, Fe","Pt, Fe",Zeolite,{'Propane Conversion': '59%'},0.010 h-1,C3H8/N2 = 1:7,550°C,16000 mL·h-1·gcat-1,0.15 g catalyst,PDH,"C3H8, N2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",91%,Nanoparticulate Alloys,In Situ Synthesis,,54% conversion after 280 min,0.004 h-1,,99%,,,,,,,10.1016/j.ces.2023.118748,2023.0
Fe-Ni/CeO2,Alloy,"Fe, Ni","Fe, Ni",Cerium Oxide,{'Propane Conversion': '58%'},,1:1 CO2:C3H8,823 K,,,ODH,"CO2, C3H8",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",58%,Nanoparticulate Alloys,Impregnation,Ce,,,,,,,,,,,10.1038/s41570-019-0128-9,2019.0
VSiBeta,Metal Oxide,"V, Si",V,SiBeta zeolite,{'Propane conversion': '37.76%'},12.3% coke,5 vol% propane in nitrogen,600℃,20 cm3/min,,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",88.35%,,,,6 h,1 h-1,,33.36%,,,,,,,10.1016/S1872-2067(19)63444-3,2020.0
Ni and Pd doped CeO2,Metal Oxide,"Ce, O, Ni, Pd","Ni, Pd",,,,,773 K,,,ODH,"C3H8, HCl",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",,,,,,,,,,,,,,,10.3389/fchem.2023.1133865_full,
1 wt% Pt/CeO2,Metal,"Pt, Ce, O",Pt,Ceria (CeO2),{'Propane conversion': '10-30%'},,"2.5% C3H8, 2.5% H2",550℃,,,PDH,"Propane (C3H8), Hydrogen (H2), Nitrogen (N2)",No,{'Selectivity': 'Structural composition'},94%,,,,,,,,,,,,,,10.1016/j.cattod.2020.06.075,2021.0
Cobalt supported on alumina nano-sheet (Co/Al2O3-NS),Metal Oxide,"Co, Al",Co,Aluminum Oxide,{'propane conversion': '31%'},0.40 mg/gcat.min,C3H8:He = 1:10,600 ℃,30 mL/min,0.3 g catalyst,PDH,"C3H8, He",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",81%,,,,5 h,1 h-1,,25-81%,,,,,,,10.1002/cctc.201900924,2019.0
Pt-Sn/xCeZr-Al,Alloy,"Pt, Sn, Ce, Zr, Al","Pt, Sn",Alumina,{'Propane conversion': '51.7-81.6%'},60.5-81.6% over 240 min,,600℃,,150 mg,PDH,"N2, C3H8",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",85-92.5%,Nanoparticulate Alloys,Impregnation Methods,"Ce, Zr",240 min,0.0042-0.004 h-1,,,,,,,,,10.1016/j.apcata.2012.07.022,2012.0
Pt/Al2O3 and Pt-Sn/Al2O3,Alloy,"Pt, Sn",Pt,Alumina,{'Propane conversion': '10-90%'},,"100% propane, 75% propane, 25% H2, 50% propane, 50% H2, 25% propane, 75% H2",600℃,9 ml/min,,PDH,"Propane, Hydrogen",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",43-91%,Nanoparticulate Alloys,Impregnation Methods,Sn,,,,,,,,,,,10.1039/c3cp50646k,2013.0
10Ni20Cr-O,Metal Oxide,"Ni, Cr",Cr,MgAlOx,{'propane conversion': '34%'},,C3H8/O2/N2 = 5:0.5:94.5,550°C,,,PDH,"C3H8, O2, N2",Yes,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",90%,,,Ni,no deactivation in 20 hours,0,,,,,,,,,10.1039/d2cy01561g,2023.0
4V/13Ti/SBA-15,Metal Oxide,"V, Ti",V,SBA-15,{'propane conversion': '6-9%'},,C3H8:O2 = 2:1,500℃,100 cc min-1,,ODH,"C3H8, O2",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",92%,,,Ti,6-10 h,0.1-1 h-1,,92%,6-9 kg kgcat-1 h-1,,,,,,10.1039/c3cy00625e,2014.0
Pt-Sn/SBA-15,Alloy,"Pt, Sn","Pt, Sn",Silica Oxide,{'propane conversion': '40%'},0.09 h-1,C3H8/H2 = 1/1,600 °C,50 mL/min,50 mg,PDH,"C3H8, H2, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92%,Nanoparticulate Alloys,Impregnation Methods,,0.09 h-1,0.09 h-1,,92%,20 mol C3H6·gPt–1·h–1,,,,,,10.1021/acscatal.1c00639,2021.0
PtSn/SBA-15,Alloy,"Pt, Sn","Pt, Sn",SBA-15,{'Propane conversion': '55.48%'},0.9% per hour,N2/C3H8 = 1.0,600℃,,3.0 h-1 (WHSV),PDH,"Propane, Nitrogen",No,"{'Conversion': 'Catalyst composition (PtSn alloy)', 'Selectivity': 'Catalyst composition (PtSn alloy)', 'Stability': 'Catalyst composition (PtSn alloy)'}",98.7%,,Incipient wetness impregnation,,32.6% conversion after 25 h,0.026 h-1,,54.7%,,,,,,,10.1016/j.cjche.2013.07.001,2014.0
Dual phase LSM and SCY,Metal Oxide,"La, Sr, Mn, Ce, Yb","Mn, Ce",,{'propane conversion': '8.1%'},,10% C3H8/He,600℃,,10 mA,ODH,"C3H8, He",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",55.8%,,,,,,,,,,,,,,10.1016/j.apcata.2023.119169,2023.0
5 wt% Cr/Ce0.2Zr0.8O2,Metal Oxide,"Cr, Ce, Zr",Cr,CexZr1-xO2,{'Propane conversion': '62.6%'},47% decrease over 6h,C3H8:CO2:Ar = 1:2:37,600℃,,0.2 g catalyst,ODH,"C3H8, CO2, Ar",Yes,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",79.4%,,,,53% initial activity after 6 h,0.013 h-1,,49.7%,,,,,,,10.1021/acscatal.2c05286,2023.0
CrOx/Al2O3,Metal Oxide,Cr,Cr,Alumina,{'Propane conversion': '47%'},10% over 6 h,"10% propane, 90% nitrogen",550°C,5000 ml/min,,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Reactor design', 'Stability': 'Reactor design'}",80%,,,Na,6 h,0.167 h-1,,80%,,,,,,,10.1039/c2cc38978a,2013.0
NU-1000 supported cobalt oxide clusters,Metal Oxide,"Co, Ni, Zn, Al, Ti, Mo, Zr",Co,NU-1000 (Zr-based MOF),{'propane conversion': 'Varied'},< 3% decrease in 20 h,O2:propane = 5:3 to 5:6,230 ℃,,Varied,ODH,"O2, Propane",Yes,"{'Conversion': 'Promoter composition', 'Activity': 'Promoter identity', 'Stability': 'MOF support'}",80-100%,,,"Ni, Zn, Al, Ti, Mo",20 h,20 h-1,,80-100%,Varied,,,,,,10.1021/jacs.7b09365,2017.0
Cr2O3/SiO2,Metal Oxide,Cr,Cr,Silica Oxide,{'Propane conversion': '41%'}-{'C3H6 yield': '9.1%'},Slower deactivation in presence of CO2,"C3H8/CO2 = 1/1, C3H8/CO2 = 1/1 (molar ratio)",823 K,,"
					",PDH,"C3H8, CO2",No,"{'Conversion': 'Process conditions', 'Selectivity': 'Structural composition', 'Stability': 'Process conditions'}",94%,,,,,,,,,,,,,,10.1016/S0920-5861(98)00245-4,1998.0
